Movie Title,Genre(s),Year of Release,Letterboxd Rating,IMDb Rating,Runtime (mins),Synopsis,Country,Original Language,Production Studio,Budget,Box Office Gross,Awards
Dune,"Action, Adventure, Drama",2021,3.9,8.0,155,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity’s greatest potential-only those who can conquer their fear will survive.","United States, Canada","English, Mandarin",N/A,"$108,897,830","$108,897,830",Won 6 Oscars. 177 wins & 303 nominations total
The Substance,"Drama, Horror, Sci-Fi",2024,3.8,7.3,141,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","United Kingdom, France",English,N/A,"$17,539,788","$17,539,788",Won 1 Oscar. 133 wins & 278 nominations total
Get Out,"Horror, Mystery, Thriller",2017,4.1,7.8,104,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family’s overly accommodating behavior as nervous attempts to deal with their daughter’s interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","United States, Japan","English, Swahili","Universal Pictures, QC Entertainment, Blumhouse Productions","$176,196,665","$176,196,665",Won 1 Oscar. 154 wins & 214 nominations total
Midsommar,"Drama, Horror, Mystery",2019,3.8,7.1,147,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.","United States, Sweden","English, Swedish",N/A,"$27,426,361","$27,426,361",27 wins & 75 nominations
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",2018,4.4,8.4,117,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson “Kingpin” Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","Canada, United States","English, Spanish",N/A,"$190,241,310","$190,241,310",Won 1 Oscar. 85 wins & 61 nominations total
The Truman Show,"Comedy, Drama",1998,4.2,8.2,103,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman’s friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.",United States,English,N/A,"$125,618,201","$125,618,201",Nominated for 3 Oscars. 41 wins & 69 nominations total
The Batman,"Action, Crime, Drama",2022,4.0,7.8,177,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",United States,"English, Spanish, Latin, Italian",N/A,"$369,345,583","$369,345,583",Nominated for 3 Oscars. 39 wins & 185 nominations total
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",2004,4.2,8.3,108,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",United States,English,N/A,"$34,400,301","$34,400,301",Won 1 Oscar. 73 wins & 111 nominations total
Knives Out,"Comedy, Crime, Drama",2019,4.0,7.9,131,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan’s dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan’s untimely death.",United States,English,N/A,"$165,363,234","$165,363,234",Nominated for 1 Oscar. 52 wins & 116 nominations total
The Dark Knight,"Action, Crime, Drama",2008,4.5,9.0,152,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","United States, United Kingdom","English, Mandarin",N/A,"$534,987,076","$534,987,076",Won 2 Oscars. 164 wins & 165 nominations total
Inception,"Action, Adventure, Sci-Fi",2010,4.2,8.8,148,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: “inception”, the implantation of another person’s idea into a target’s subconscious.","United States, United Kingdom","English, Japanese, French",N/A,"$292,587,330","$292,587,330",Won 4 Oscars. 159 wins & 220 nominations total
Dune: Part Two,"Action, Adventure, Drama",2024,4.4,8.5,167,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.","United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",English,N/A,"$282,144,358","$282,144,358",Won 2 Oscars. 106 wins & 367 nominations total
American Psycho,"Crime, Drama, Horror",2000,3.8,7.6,102,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",United States,"English, Spanish, Cantonese",N/A,"$15,070,285","$15,070,285",7 wins & 11 nominations total
Saltburn,"Drama, Thriller",2023,3.4,7.0,131,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family’s sprawling estate, for a summer never to be forgotten.","United Kingdom, United States",English,N/A,"$11,425,829","$11,425,829",Nominated for 5 BAFTA 15 wins & 108 nominations total
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",2023,4.4,8.5,140,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",United States,English,N/A,"$381,593,754","$381,593,754",Nominated for 1 Oscar. 106 wins & 165 nominations total
Poor Things,"Comedy, Drama, Romance",2023,4.0,7.8,141,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.","Ireland, United Kingdom, United States, Hungary","English, French, Portuguese",N/A,"$34,553,225","$34,553,225",Won 4 Oscars. 120 wins & 424 nominations total
Lady Bird,"Comedy, Drama",2017,3.8,7.4,94,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",United States,"English, Spanish",N/A,"$48,958,273","$48,958,273",Nominated for 5 Oscars. 124 wins & 228 nominations total
Challengers,"Comedy, Drama, Romance",2024,3.9,7.1,132,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi’s former boyfriend.","Italy, United States","English, Romanian",N/A,"$50,119,408","$50,119,408",82 wins & 155 nominations total
Spirited Away,"Animation, Adventure, Family",2001,4.4,8.6,125,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","Japan, United States","Japanese, English",N/A,"$15,205,725","$15,205,725",Won 1 Oscar. 58 wins & 31 nominations total
The Wolf of Wall Street,"Biography, Comedy, Crime",2013,4.0,8.2,180,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort’s autobiography.",United States,"English, French",N/A,"$116,900,694","$116,900,694",Nominated for 5 Oscars. 38 wins & 180 nominations total
Nosferatu,"Fantasy, Horror, Mystery",2024,3.7,7.3,133,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","United States, United Kingdom, Hungary","English, Romanian, Romany, Russian, Latin, German",N/A,"$95,608,235","$95,608,235",Nominated for 4 Oscars. 57 wins & 177 nominations total
